iter	Passed	Remaining
282	425	1077
283	426	1074
284	426	1070
285	427	1067
286	428	1064
287	429	1061
288	430	1058
289	430	1055
290	431	1051
291	432	1048
292	433	1045
293	434	1042
294	435	1039
295	436	1038
296	437	1035
297	438	1032
298	439	1030
299	440	1027
300	440	1024
301	441	1021
302	442	1018
303	443	1015
304	444	1012
305	445	1009
306	445	1006
307	446	1003
308	447	1000
309	448	998
310	449	995
311	449	992
312	451	991
313	452	988
314	453	985
315	454	983
316	454	980
317	455	977
318	456	974
319	457	971
320	458	969
321	458	966
322	459	963
323	460	960
324	461	958
325	462	955
326	463	953
327	463	950
328	464	947
329	466	947
330	467	945
331	468	942
332	469	940
333	470	937
334	471	935
335	471	932
336	472	929
337	473	927
338	474	924
339	475	922
340	475	919
341	476	916
342	477	914
343	478	911
344	478	909
345	479	907
346	481	905
347	482	903
348	482	900
349	483	898
350	484	895
351	485	893
352	486	891
353	486	888
354	487	886
355	488	883
356	489	881
357	490	879
358	490	876
359	491	874
360	492	871
361	493	869
362	494	867
363	496	867
364	497	865
365	498	862
366	498	860
367	499	858
368	500	855
369	501	853
370	503	852
371	503	850
372	505	849
373	505	846
374	506	844
375	507	842
376	508	840
377	510	840
378	511	838
379	513	837
380	514	835
381	515	833
382	516	831
383	517	830
384	518	828
385	519	826
386	520	824
387	521	823
388	522	821
389	524	819
390	526	819
391	527	818
392	528	816
393	529	814
394	530	812
395	531	810
396	532	808
397	533	807
398	535	806
399	536	804
400	537	802
401	538	800
402	539	799
403	541	798
404	541	796
405	542	794
406	543	791
407	544	789
408	545	787
409	545	785
410	546	783
411	547	781
412	548	779
413	549	777
414	549	775
415	550	773
416	551	771
417	552	769
418	553	767
419	554	766
420	555	764
421	556	762
422	557	760
423	558	758
424	559	756
425	559	754
426	560	752
427	561	750
428	562	748
429	563	746
430	564	744
431	564	742
432	565	740
433	566	738
434	567	736
435	568	734
436	569	733
437	570	732
438	571	730
439	572	728
440	573	726
441	573	724
442	574	722
443	575	720
444	576	718
445	577	716
446	578	715
447	578	713
448	579	711
449	580	709
450	581	707
451	582	705
452	582	703
453	584	702
454	585	701
455	586	699
456	587	697
457	587	695
458	588	693
459	589	691
460	590	690
461	591	688
462	592	686
463	592	684
464	593	683
465	594	681
466	595	679
467	596	677
468	596	675
469	597	673
470	599	672
471	600	671
472	601	670
473	602	668
474	603	667
475	604	665
476	605	663
477	605	661
478	606	659
